02/02/2018 07:33:46 | DEBUG | pyforms.gui.controls.ControlMdiArea | _subWindowClosed | Sub window closed. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c680435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c57c6fe58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f5e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f4c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f708>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f678>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f828>]
02/02/2018 07:33:47 | DEBUG | pyforms.gui.controls.ControlMdiArea | _subWindowClosed | Sub window closed. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c680435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c57c6fe58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f5e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f4c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f708>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f678>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f828>]
02/02/2018 07:35:04 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f279c0655e8>]
02/02/2018 07:35:32 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f279c0655e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f27861c4e58>]
02/02/2018 07:35:42 | DEBUG | pyforms.gui.controls.ControlMdiArea | _subWindowClosed | Sub window closed. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f279c0655e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f27861c4e58>]
02/02/2018 07:35:43 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f279c0655e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f27861c4e58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c1144c8>]
02/02/2018 07:35:47 | DEBUG | pyforms.gui.controls.ControlMdiArea | _subWindowClosed | Sub window closed. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f279c0655e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f27861c4e58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c1144c8>]
02/02/2018 07:35:48 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f279c0655e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f27861c4e58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c1144c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114e58>]
02/02/2018 07:35:55 | DEBUG | pyforms.gui.controls.ControlMdiArea | _subWindowClosed | Sub window closed. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f279c0655e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f27861c4e58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c1144c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114e58>]
02/02/2018 07:36:00 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f279c0655e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f27861c4e58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c1144c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114e58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114dc8>]
02/02/2018 07:36:08 | DEBUG | pyforms.gui.controls.ControlMdiArea | _subWindowClosed | Sub window closed. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f279c0655e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f27861c4e58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c1144c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114e58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114dc8>]
02/02/2018 07:36:10 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f279c0655e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f27861c4e58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c1144c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114e58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114dc8>]
02/02/2018 07:36:12 | DEBUG | pyforms.gui.controls.ControlMdiArea | _subWindowClosed | Sub window closed. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f279c0655e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f27861c4e58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c1144c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114e58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114dc8>]
02/02/2018 07:36:13 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f279c0655e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f27861c4e58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c1144c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114e58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114dc8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114ee8>]
02/02/2018 07:36:17 | DEBUG | pyforms.gui.controls.ControlMdiArea | _subWindowClosed | Sub window closed. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f279c0655e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f27861c4e58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c1144c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114e58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114dc8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114ee8>]
02/02/2018 07:36:25 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f279c0655e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f27861c4e58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c1144c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114e58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114dc8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114ee8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114ca8>]
02/02/2018 07:36:44 | DEBUG | pyforms.gui.controls.ControlList | tableWidgetCellDoubleClicked | Cell double clicked. Stored value: (55, 202)
02/02/2018 07:36:51 | DEBUG | pyforms.gui.controls.ControlMdiArea | _subWindowClosed | Sub window closed. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f279c0655e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f27861c4e58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c1144c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114e58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114dc8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114ee8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f278c114ca8>]
02/02/2018 07:45:16 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f368c1025e8>]
